Round,cwnd,ssthresh
1,2,8
2,4,8
3,8,8
4,9,8
5,10,8
6,11,8
7,12,8
8,7,6
9,8,6
10,9,6
11,10,6
12,11,6
13,12,6
14,13,6
15,14,6
16,15,6
17,16,6
18,9,8
19,10,8
20,11,8
21,12,8
22,13,8
23,14,8
24,15,8
25,16,8
26,9,8
27,10,8
28,11,8
29,12,8
30,13,8
